query-1: Muestra la cantidad total de dinero abonado por los clientes que han adquirido el ‚Äú1940 Ford Pickup Truck‚Äù
            customername            | customernumber |  amount   
------------------------------------+----------------+-----------
 Euro+ Shopping Channel             |            141 | 120166.58
 Euro+ Shopping Channel             |            141 | 116208.40
 Mini Gifts Distributors Ltd.       |            124 | 111654.40
 Dragon Souveniers, Ltd.            |            148 | 105743.00
 Mini Gifts Distributors Ltd.       |            124 | 101244.59
 Corporate Gift Ideas Co.           |            321 |  85559.12
 Mini Gifts Distributors Ltd.       |            124 |  85410.87
 Herkku Gifts                       |            167 |  85024.46
 Mini Gifts Distributors Ltd.       |            124 |  83598.04
 Australian Collectors, Co.         |            114 |  82261.22
 Collectable Mini Designs Co.       |            239 |  80375.24
 Down Under Souveniers, Inc         |            323 |  75020.13
 Euro+ Shopping Channel             |            141 |  65071.26
 Euro+ Shopping Channel             |            141 |  63843.55
 Diecast Classics Inc.              |            157 |  63357.13
 Vida Sport, Ltd                    |            298 |  61402.00
 Toms Spezialit‰ten, Ltd            |            259 |  61234.67
 Euro+ Shopping Channel             |            141 |  59830.55
 The Sharp Gifts Warehouse          |            450 |  59551.38
 Diecast Collectables               |            495 |  59265.14
 Muscle Machine Inc                 |            151 |  58841.35
 Muscle Machine Inc                 |            151 |  58793.53
 Corrida Auto Replicas, Ltd         |            458 |  57131.92
 Mini Gifts Distributors Ltd.       |            124 |  55639.66
 Online Diecast Creations Co.       |            363 |  55425.77
 Danish Wholesale Imports           |            145 |  53959.21
 Heintze Collectables               |            227 |  53745.34
 Auto AssociÈs & Cie.               |            256 |  53116.99
 AV Stores, Co.                     |            187 |  52825.29
 Mini Creations Ltd.                |            320 |  52548.49
 Kelly's Gift Shop                  |            496 |  52166.00
 Rovelli Gifts                      |            278 |  52151.81
 L'ordine Souveniers                |            386 |  51619.02
 La Corne Dabondance, Co.           |            172 |  51209.58
 Online Mini Collectables           |            204 |  51152.86
 Cruz & Sons Co.                    |            385 |  51001.22
 Marseille Mini Autos               |            350 |  50824.66
 Online Diecast Creations Co.       |            363 |  50799.69
 Technics Stores Inc.               |            161 |  50743.65
 Toys4GrownUps.com                  |            205 |  50342.74
 Baane Mini Imports                 |            121 |  50218.95
 Land of Toys Inc.                  |            131 |  50025.35
 Reims Collectables                 |            353 |  49705.52
 Saveley & Henriot, Co.             |            146 |  49614.72
 Euro+ Shopping Channel             |            141 |  49539.37
 La Rochelle Gifts                  |            119 |  49523.67
 Auto Canal+ Petit                  |            406 |  49165.16
 Tokyo Collectables, Ltd            |            398 |  48927.64
 Scandinavian Gift Ideas            |            448 |  48809.90
 AV Stores, Co.                     |            187 |  48425.69
 FunGiftIdeas.com                   |            462 |  48355.87
 Amica Models & Co.                 |            249 |  48298.99
 La Rochelle Gifts                  |            119 |  47924.19
 Iberia Gift Imports, Corp.         |            484 |  47513.19
 Martas Replicas Co.                |            286 |  47411.33
 Vida Sport, Ltd                    |            298 |  47375.92
 Osaka Souveniers Co.               |            177 |  47177.59
 AV Stores, Co.                     |            187 |  47159.11
 Mini Gifts Distributors Ltd.       |            124 |  47142.70
 Euro+ Shopping Channel             |            141 |  46895.48
 giftsbymail.co.uk                  |            240 |  46788.14
 Corporate Gift Ideas Co.           |            321 |  46781.66
 Oulu Toy Supplies, Inc.            |            311 |  46770.52
 Reims Collectables                 |            353 |  46656.94
 Motor Mint Distributors Inc.       |            486 |  45994.07
 Australian Collectors, Co.         |            114 |  45864.03
 Suominen Souveniers                |            334 |  45785.34
 King Kong Collectables, Co.        |            211 |  45480.79
 Petit Auto                         |            314 |  45352.47
 Mini Gifts Distributors Ltd.       |            124 |  45084.38
 Australian Collectors, Co.         |            114 |  44894.74
 Vitachrome Inc.                    |            181 |  44400.50
 Dragon Souveniers, Ltd.            |            148 |  44380.15
 Handji Gifts& Co                   |            166 |  44160.92
 Mini Gifts Distributors Ltd.       |            124 |  43369.30
 Martas Replicas Co.                |            286 |  43134.04
 Salzburg Collectables              |            382 |  42813.83
 Daedalus Designs Imports           |            171 |  42783.81
 Mini Classics                      |            319 |  42339.76
 Gift Depot Inc.                    |            175 |  42044.77
 Annas Decorations, Ltd             |            276 |  41554.73
 Mini Creations Ltd.                |            320 |  41016.75
 Saveley & Henriot, Co.             |            146 |  40978.53
 Enaco Distributors                 |            216 |  40473.86
 Euro+ Shopping Channel             |            141 |  40206.20
 Muscle Machine Inc                 |            151 |  39964.63
 Saveley & Henriot, Co.             |            146 |  39712.10
 Toys4GrownUps.com                  |            205 |  39580.60
 Down Under Souveniers, Inc         |            323 |  39440.59
 Handji Gifts& Co                   |            166 |  38785.48
 Technics Stores Inc.               |            161 |  38675.13
 Annas Decorations, Ltd             |            276 |  38547.19
 L'ordine Souveniers                |            386 |  38524.29
 Super Scale Inc.                   |            455 |  38139.18
 Rovelli Gifts                      |            278 |  37723.79
 Rovelli Gifts                      |            278 |  37654.09
 Toys of Finland, Co.               |            186 |  37602.48
 Royal Canadian Collectables, Ltd.  |            260 |  37527.58
 Stylish Desk Decors, Co.           |            324 |  37455.77
 Down Under Souveniers, Inc         |            323 |  37281.36
 UK Collectables, Ltd.              |            201 |  37258.94
 Norway Gifts By Mail, Co.          |            299 |  36798.88
 Canadian Gift Exchange Network     |            202 |  36527.61
 GiftsForHim.com                    |            357 |  36442.34
 Euro+ Shopping Channel             |            141 |  36251.03
 Heintze Collectables               |            227 |  36164.46
 Euro+ Shopping Channel             |            141 |  36140.38
 Mini Classics                      |            319 |  36092.40
